ID,Name,Sport,Gender,Age
1,Ibrahim Witt,Tennis,Non-binary,41
2,Huseyin Sargent,High jumping,Female,38
3,Aoife Wynn,Baseball,Male,69
4,Federico Ray,Soccer,Female,12
5,Aron Parsons,Basketball,Female,18
6,Hasnain Mendoza,High jumping,Female,63
7,Kathryn Lindsey,Tennis,Female,49
8,Gianluca Walker,Horseback riding,Non-binary,13
9,Eleri Garza,Figure skating,Male,27
10,Keaton Ferry,Fitness,Non-binary,51
11,Ritik Moses,Curling,Female,71
12,Kelly Hodge,Curling,Non-binary,34
13,Nadeem Craft,Fitness,Non-binary,70
14,Nisha Vang,Badminton,Female,36
15,Charlene Myers,Shooting,Female,61
16,Jensen Conroy,Pool,Female,22
17,Andre Matthews,Bowling,Non-binary,56
18,Mario Easton,Hockey,Female,22
19,Gianluca Walker,Baseball,Non-binary,44
20,Karis Lane,Judo,Female,55
21,Tarik Corona,High jumping,Male,60
22,Areebah Calhoun,Archery,Non-binary,67
23,Franco Crouch,Fitness,Female,83
24,Rylee Hinton,Badminton,Female,64
25,Larissa Kinney,Running,Male,66
26,Siraj Blevins,Tennis,Female,78
27,Areebah Calhoun,Climbing,Female,85
28,Albert Cross,Fencing,Male,51
29,Ritik Moses,Badminton,Male,44
30,Keaton Ferry,Figure skating,Female,34
31,Shanaya Bouvet,Weightlifting,Non-binary,81
32,Shanaya Bouvet,Pool,Non-binary,44
33,Nisha Vang,Figure skating,Non-binary,43
34,Nadeem Craft,Skateboarding,Female,55
35,Calista Cummings,Badminton,Male,23
36,Libbi Driscoll,Archery,Female,37
37,Luna Crosby,Horse racing,Non-binary,52
38,Eleri Garza,Table tennis,Female,35
39,Ashlee Owens,Wrestling,Male,28
40,Jimmie Gallegos,Climbing,Female,78
41,Hasnain Mendoza,Hang gliding,Male,70
42,Nisha Vang,Cricket,Male,14
43,Romana Wagner,Shooting,Female,71
44,Libbi Driscoll,Boxing,Male,60
45,Sylvie Yoder,Fitness,Male,16
46,Larissa Kinney,Weightlifting,Female,79
47,Aron Parsons,Rugby,Female,30
48,Ashlee Owens,Climbing,Female,56
49,Libbi Driscoll,Judo,Non-binary,48
50,Romy Cohen,Archery,Female,15
51,Gianluca Walker,Yoga,Male,53
52,Romy Cohen,Cricket,Non-binary,56
53,Eleri Garza,Gymnastics,Non-binary,40
54,Conal Taylor,Baseball,Non-binary,55
55,Heath Robson,Basketball,Male,37
56,Alessio Day,Archery,Female,82
57,Charlene Myers,Figure skating,Non-binary,16
58,Gurveer Lutz,Fencing,Male,81
59,Fionn Cochran,Badminton,Female,22
60,Aoife Wynn,Volleyball,Non-binary,57
61,Devon Lowry,Karate,Non-binary,73
62,Nisha Vang,Badminton,Male,44
63,Domonic Keller,Fishing,Male,38
64,Leighton Bloggs,Judo,Female,82
65,Isabella-Rose Hawkins,Horse racing,Female,21
66,Margot Reyna,Tennis,Female,75
67,Amandeep Mclean,Climbing,Female,25
68,Roscoe Dunne,Horseback riding,Male,50
69,Lois Wong,Weightlifting,Female,20
70,Cody Buckley,Archery,Male,62
71,Ritik Moses,Wrestling,Non-binary,62
72,Lillie-Mae O'Neill,Cycling,Female,47
73,Devon Lowry,Cricket,Male,70
74,Sandra Wickens,Climbing,Female,63
75,Otto Valenzuela,Horse racing,Male,69
76,Keaton Ferry,Tennis,Non-binary,48
77,Romy Cohen,Hang gliding,Male,20
78,Julius Colley,Yoga,Female,45
79,Blair Torres,Cricket,Male,59
80,Huseyin Sargent,Karate,Non-binary,14
81,Cody Buckley,Archery,Female,76
82,Zander Spencer,Soccer,Non-binary,37
83,Eleasha Firth,Hockey,Male,22
84,Jimmie Gallegos,Pool,Male,64
85,Mario Easton,Archery,Non-binary,85
86,Otto Valenzuela,Weightlifting,Non-binary,48
87,Lorna Jenkins,Figure skating,Non-binary,35
88,Karis Lane,Curling,Male,18
89,Rukhsar Roman,Skateboarding,Female,71
90,Margot Reyna,Horseback riding,Female,51
91,Albert Cross,Tennis,Female,14
92,Mario Easton,Weightlifting,Female,18
93,Maisha Frost,Weightlifting,Male,27
94,Eleri Garza,Hang gliding,Female,46
95,Ashlee Owens,Pool,Non-binary,30
96,Sylvie Yoder,Fencing,Female,83
97,Zander Spencer,Horseback riding,Non-binary,65
98,Charlene Myers,Archery,Male,31
99,Libbi Driscoll,Gymnastics,Non-binary,39
100,Ibrahim Witt,Archery,Female,35
101,Renee Park,Cycling,Female,41
102,Jagdeep Sims,Hang gliding,Non-binary,53
103,Amandeep Mclean,Bowling,Female,80
104,Amandeep Mclean,Badminton,Non-binary,72
105,Fatima Goodwin,Basketball,Female,53
106,Romana Wagner,Hockey,Female,42
107,Alvin Carpenter,Pool,Male,44
108,Kiera Ridley,Skateboarding,Male,40
109,Devon Lowry,Shooting,Female,69
110,Rylee Hinton,Horseback riding,Female,71
111,Keir Soto,Running,Non-binary,51
112,Eleasha Firth,Climbing,Female,85
113,Lois Wong,Skateboarding,Non-binary,56
114,Franco Crouch,Badminton,Female,35
115,Romy Cohen,Curling,Non-binary,81
116,Nadeem Craft,Table tennis,Non-binary,53
117,Sinead Holland,Weightlifting,Female,45
118,Margot Reyna,Curling,Non-binary,28
119,Ritik Moses,Horse racing,Non-binary,49
120,Mario Easton,Cycling,Female,55
121,Lorna Jenkins,Surfing,Male,19
122,Zayan Yang,Running,Male,79
123,Eiliyah West,Soccer,Female,14
124,Keaton Ferry,Horseback riding,Female,51
125,Conal Taylor,Volleyball,Male,86
126,Zander Spencer,Basketball,Female,68
127,Alvin Carpenter,Baseball,Non-binary,18
128,Marilyn Burks,Boxing,Female,62
129,Zaynab Markham,Basketball,Non-binary,44
130,Dougie Whelan,Cricket,Male,69
131,Zayan Yang,Judo,Non-binary,14
132,Cody Buckley,Surfing,Male,66
133,Gurveer Lutz,Karate,Male,28
134,Luna Crosby,Bowling,Female,39
135,Gianluca Walker,Tennis,Non-binary,74
136,Kenya Hartman,Surfing,Non-binary,70
137,Aron Parsons,Rugby,Male,12
138,Mario Easton,Skateboarding,Male,75
139,Renee Park,Figure skating,Non-binary,71
140,Frida Rayner,Fishing,Female,61
141,Cody Buckley,Karate,Male,83
142,Nour Fox,Weightlifting,Female,28
143,Keaton Ferry,Shooting,Female,67
144,Aoife Wynn,Cricket,Non-binary,22
145,Nadeem Craft,Golf,Non-binary,59
146,Tarik Corona,Table tennis,Female,55
147,Lillie-Mae O'Neill,Judo,Female,22
148,Tarik Corona,Volleyball,Female,64
149,Alvin Carpenter,Boxing,Female,86
150,Kathryn Lindsey,Judo,Male,71
151,Otto Valenzuela,Cricket,Male,78
152,Maisha Frost,Judo,Female,69
153,Frida Rayner,Cycling,Non-binary,59
154,Lillie-Mae O'Neill,Weightlifting,Female,48
155,Robert Horne,Pool,Female,53
156,Lillie Paterson,Climbing,Male,43
157,Hasnain Mendoza,Cycling,Non-binary,19
158,Cody Buckley,Golf,Female,60
159,Lois Wong,Climbing,Male,84
160,Eiliyah West,High jumping,Non-binary,50
161,Gianluca Walker,Boxing,Male,15
162,Soraya Bevan,Badminton,Male,84
163,Kenya Hartman,Horseback riding,Male,83
164,Nadeem Craft,Cricket,Non-binary,49
165,Kathryn Lindsey,Table tennis,Non-binary,67
166,Blair Torres,Fencing,Male,54
167,Gianluca Walker,Climbing,Female,63
168,Batman,Hang gliding,Female,52
169,Areebah Calhoun,Boxing,Non-binary,20
170,Clarissa Churchill,Horse racing,Non-binary,25
171,Karis Lane,Judo,Female,66
172,Jensen Conroy,Pool,Non-binary,73
173,Kiera Ridley,Soccer,Male,57
174,Kenya Hartman,Curling,Male,60
175,Lorna Jenkins,Cycling,Non-binary,51
176,Renee Park,Skateboarding,Male,27
177,Eleri Garza,Cricket,Male,70
178,Gurveer Lutz,Pool,Female,22
179,Gianluca Walker,Golf,Male,80
180,Larissa Kinney,Archery,Non-binary,39
181,Otto Valenzuela,Cricket,Female,64
182,Kathryn Lindsey,Climbing,Male,18
183,Sylvie Yoder,Cricket,Non-binary,63
184,Eleri Garza,Running,Male,42
185,Frida Rayner,Rugby,Non-binary,41
186,Hasnain Mendoza,Badminton,Female,27
187,Lillie-Mae O'Neill,Horse racing,Non-binary,62
188,Soraya Bevan,Boxing,Non-binary,55
189,Sandra Wickens,Rugby,Non-binary,82
190,Conal Taylor,Rugby,Female,59
191,Robert Horne,Horseback riding,Female,34
192,Gurveer Lutz,Hockey,Female,64
193,Rukhsar Roman,Volleyball,Female,35
194,Zander Spencer,Car racing,Non-binary,19
195,Fionn Cochran,Judo,Non-binary,36
196,Robert Horne,Curling,Male,60
197,Hasnain Mendoza,Wrestling,Female,16
198,Sandra Wickens,Badminton,Male,48
199,Calista Cummings,Car racing,Female,38
200,Gurveer Lutz,Judo,Male,45
201,Keaton Ferry,Pool,Male,16
202,Libbi Driscoll,Judo,Non-binary,32
203,Romy Cohen,Soccer,Female,66
204,Roscoe Dunne,Badminton,Female,76
205,Huseyin Sargent,Horse racing,Male,63
206,Tyron Goodman,Car racing,Male,77
207,Sandra Wickens,Running,Non-binary,77
208,Sinead Holland,Bowling,Female,29
209,Madeeha Bellamy,Baseball,Female,65
210,Gracie Hood,Cricket,Male,41
211,Lorna Jenkins,Boxing,Male,72
212,Salman Whitley,Gymnastics,Male,21
213,Amandeep Mclean,Karate,Male,55
214,Eleasha Firth,Figure skating,Male,43
215,Amandeep Mclean,Figure skating,Female,47
216,Kelly Hodge,Shooting,Non-binary,42
217,Keri Rocha,Car racing,Non-binary,32
218,Lillie-Mae O'Neill,Table tennis,Female,12
219,Frida Rayner,Hang gliding,Female,82
220,Calista Cummings,Horse racing,Female,54
221,Federico Ray,Cricket,Non-binary,31
222,Renee Park,Fitness,Non-binary,34
223,Isabella-Rose Hawkins,Yoga,Non-binary,42
224,Andre Matthews,Horseback riding,Non-binary,58
225,Mathias Russo,Curling,Female,12
226,Jensen Conroy,Golf,Female,66
227,Zaynab Markham,Horseback riding,Male,85
228,Gracie Hood,Weightlifting,Non-binary,35
229,Adem Wardle,Rugby,Male,19
230,Frida Rayner,Gymnastics,Female,39
231,Nour Fox,Skateboarding,Non-binary,46
232,Luna Crosby,Bowling,Non-binary,16
233,Fionn Cochran,Yoga,Female,54
234,Shahzaib Petty,Running,Male,39
235,Amandeep Mclean,Horse racing,Female,69
236,Roland Burns,Rugby,Female,16
237,Libbi Driscoll,Judo,Female,20
238,Ewen Stott,Wrestling,Male,63
239,Camron Rees,Judo,Non-binary,49
240,Nour Fox,Cricket,Female,21
241,Eleri Garza,Tennis,Male,63
242,Aoife Wynn,High jumping,Non-binary,24
243,Lois Wong,Weightlifting,Female,77
244,Keir Soto,Running,Male,19
245,Sylvie Yoder,Figure skating,Male,40
246,Rylee Hinton,Pool,Female,50
247,Aron Parsons,Fitness,Female,78
248,Andre Matthews,Climbing,Non-binary,41
249,Frida Rayner,Skateboarding,Female,31
250,Leighton Bloggs,Table tennis,Female,43
251,Romy Cohen,Badminton,Male,15
252,Charlene Myers,Hang gliding,Male,81
253,Sandra Wickens,Fishing,Non-binary,71
254,Amandeep Mclean,Boxing,Female,74
255,Sheena Walls,High jumping,Female,31
256,Ewen Stott,Rugby,Male,43
257,Jensen Conroy,Running,Male,44
258,Jensen Conroy,Volleyball,Male,43
259,Zander Spencer,Curling,Female,52
260,Kenya Hartman,Volleyball,Female,38
261,Fionn Cochran,Gymnastics,Male,13
262,Eleasha Firth,Fitness,Male,56
263,Lillie Paterson,Golf,Non-binary,33
264,Jensen Conroy,Archery,Non-binary,37
265,Sandra Wickens,Horse racing,Male,19
266,Charlene Myers,Tennis,Female,33
267,Aoife Wynn,Archery,Male,32
268,Halle Sampson,Yoga,Female,79
269,Lexi Hendricks,Table tennis,Non-binary,35
270,Adem Wardle,Rugby,Non-binary,61
271,Romana Wagner,Running,Female,30
272,Aoife Wynn,Karate,Non-binary,71
273,Zayan Yang,Figure skating,Female,81
274,Amandeep Mclean,Wrestling,Non-binary,57
275,Marilyn Burks,Judo,Female,49
276,Robert Horne,High jumping,Male,34
277,Maisha Frost,Fencing,Female,23
278,Huseyin Sargent,Badminton,Non-binary,59
279,Mario Easton,Table tennis,Non-binary,15
280,Cody Buckley,Fencing,Male,54
281,Adem Wardle,Weightlifting,Non-binary,66
282,Romy Cohen,Weightlifting,Female,70
283,Jimmie Gallegos,Running,Female,54
284,Halle Sampson,Shooting,Male,70
285,Madeeha Bellamy,Car racing,Male,61
286,Heath Robson,Boxing,Female,47
287,Calista Cummings,Horse racing,Non-binary,78
288,Jensen Conroy,Table tennis,Male,59
289,Albert Cross,Hang gliding,Non-binary,39
290,Sandra Wickens,Surfing,Female,85
291,Nadeem Craft,Weightlifting,Female,79
292,Alessio Day,Horseback riding,Male,52
293,Tyron Goodman,Cycling,Female,12
294,Romana Wagner,High jumping,Female,28
295,Eleri Garza,Cricket,Female,47
296,Mathias Russo,Surfing,Non-binary,59
297,Shahzaib Petty,Running,Male,25
298,Rukhsar Roman,Climbing,Female,54
299,Keir Soto,Bowling,Female,78
300,Shahzaib Petty,Boxing,Male,29
301,Ritik Moses,Golf,Non-binary,49
302,Renee Park,Horse racing,Female,60
303,Gurveer Lutz,Fishing,Non-binary,74
304,Isabella-Rose Hawkins,Fishing,Non-binary,27
305,Gracie Hood,Bowling,Female,17
306,Domonic Keller,Yoga,Non-binary,84
307,Frida Rayner,Rugby,Non-binary,85
308,Sinead Holland,Cycling,Female,26
309,Tyron Goodman,Figure skating,Female,66
310,Lillie Paterson,Baseball,Male,66
311,Sheena Walls,Tennis,Non-binary,47
312,Lillie Paterson,Figure skating,Female,56
313,Federico Ray,Baseball,Non-binary,41
314,Luna Crosby,Judo,Female,12
315,Roland Burns,Climbing,Female,65
316,Nadeem Craft,Climbing,Female,58
317,Zaynab Markham,Fishing,Male,37
318,Lorna Jenkins,Fitness,Female,19
319,Karis Lane,Pool,Non-binary,59
320,Zander Spencer,Curling,Male,41
321,Franco Crouch,Weightlifting,Male,68
322,Isabella-Rose Hawkins,High jumping,Non-binary,28
323,Cody Buckley,Figure skating,Female,42
324,Areebah Calhoun,Fencing,Male,53
325,Maisha Frost,Baseball,Non-binary,23
326,Romana Wagner,Boxing,Non-binary,29
327,Luna Crosby,Figure skating,Non-binary,84
328,Soraya Bevan,Basketball,Male,42
329,Shanaya Bouvet,Curling,Female,42
330,Rukhsar Roman,Cricket,Non-binary,27
331,Albert Cross,Golf,Male,63
332,Fionn Cochran,Yoga,Non-binary,80
333,Kiera Ridley,High jumping,Female,51
334,Siraj Blevins,Running,Female,72
335,Jensen Conroy,Fishing,Female,74
336,Rylee Hinton,Badminton,Non-binary,61
337,Lois Wong,Figure skating,Non-binary,65
338,Lillie Paterson,Running,Female,66
339,Andre Matthews,Rugby,Female,52
340,Calista Cummings,Weightlifting,Male,57
341,Ephraim Booth,Cycling,Male,58
342,Lillie-Mae O'Neill,Volleyball,Female,31
343,Luna Crosby,Badminton,Non-binary,40
344,Halle Sampson,Rugby,Male,68
345,Gracie Hood,Hockey,Non-binary,81
346,Blair Torres,Surfing,Non-binary,13
347,Adem Wardle,Yoga,Female,60
348,Rojin Sparrow,Weightlifting,Non-binary,12
349,Fatima Goodwin,Boxing,Non-binary,55
350,Sheena Walls,Wrestling,Non-binary,66
351,Halle Sampson,Badminton,Non-binary,21
352,Fatima Goodwin,Curling,Non-binary,75
353,Heath Robson,Gymnastics,Male,22
354,Nour Fox,Pool,Female,53
355,Federico Ray,Boxing,Non-binary,36
356,Ella-Rose Choi,Basketball,Male,18
357,Charlene Myers,Shooting,Female,32
358,Mathias Russo,Pool,Female,67
359,Franco Crouch,Pool,Female,25
360,Tarik Corona,Running,Non-binary,32
361,Robert Horne,Cricket,Non-binary,75
362,Batman,Running,Non-binary,61
363,Libbi Driscoll,Judo,Non-binary,32
364,Lillie Paterson,Table tennis,Male,47
365,Keri Rocha,Cycling,Non-binary,22
366,Nisha Vang,Wrestling,Female,58
367,Gracie Hood,Gymnastics,Non-binary,30
368,Libbi Driscoll,Gymnastics,Male,31
369,Tyron Goodman,Yoga,Male,73
370,Margot Reyna,Judo,Female,69
371,Eleri Garza,Archery,Male,66
372,Clarissa Churchill,Horse racing,Male,17
373,Camron Rees,Figure skating,Male,17
374,Nour Fox,Judo,Male,16
375,Larissa Kinney,Gymnastics,Female,41
376,Madeeha Bellamy,Hang gliding,Non-binary,26
377,Charlene Myers,Yoga,Male,43
378,Eleasha Firth,Hang gliding,Female,25
379,Blair Torres,Running,Non-binary,37
380,Robert Horne,Fishing,Non-binary,51
381,Franco Crouch,Yoga,Female,25
382,Ajay Bryan,Volleyball,Non-binary,26
383,Sandra Wickens,Golf,Non-binary,61
384,Ashlee Owens,Volleyball,Male,13
385,Fionn Cochran,Skateboarding,Female,83
386,Huseyin Sargent,Running,Non-binary,54
387,Gurveer Lutz,Figure skating,Male,29
388,Julius Colley,Judo,Female,46
389,Leighton Bloggs,Surfing,Female,44
390,Zayan Yang,Badminton,Male,20
391,Karen Diaz,Basketball,Male,31
392,Keir Soto,Soccer,Female,40
393,Rojin Sparrow,Boxing,Female,45
394,Tarik Corona,Tennis,Female,60
395,Mathias Russo,Yoga,Non-binary,27
396,Kiera Ridley,Fishing,Female,41
397,Eiliyah West,Skateboarding,Male,70
398,Scarlette Mohammed,Archery,Male,13
399,Sandra Wickens,Fitness,Female,29
400,Gurveer Lutz,Bowling,Male,24
401,Mario Easton,Skateboarding,Male,29
402,Alvin Carpenter,Climbing,Male,34
403,Siraj Blevins,Yoga,Non-binary,16
404,Ajay Bryan,Badminton,Male,15
405,Ella-Rose Choi,Pool,Male,16
406,Eiliyah West,Weightlifting,Female,16
407,Domonic Keller,High jumping,Non-binary,81
408,Simran Dudley,High jumping,Male,60
409,Heath Robson,Golf,Male,26
410,Tyron Goodman,Curling,Male,39
411,Marilyn Burks,Running,Female,47
412,Luna Crosby,Curling,Female,60
413,Ella-Grace Hollis,Rugby,Non-binary,78
414,Ashlee Owens,Archery,Non-binary,32
415,Lillie-Mae O'Neill,Rugby,Female,77
416,Tarik Corona,Skateboarding,Male,20
417,Heath Robson,Hockey,Non-binary,83
418,Keir Soto,Running,Female,79
419,Charlene Myers,Hang gliding,Non-binary,31
420,Jagdeep Sims,Car racing,Non-binary,38
421,Ella-Rose Choi,Horseback riding,Female,72
422,Andre Matthews,Archery,Non-binary,45
423,Alessio Day,Tennis,Male,67
424,Alessio Day,Climbing,Male,67
425,Ephraim Booth,Basketball,Non-binary,54
426,Rukhsar Roman,Gymnastics,Male,84
427,Devon Lowry,Hang gliding,Female,38
428,Alessio Day,High jumping,Female,55
429,Shanaya Bouvet,Bowling,Non-binary,19
430,Libbi Driscoll,Golf,Female,44
431,Roscoe Dunne,Hang gliding,Female,70
432,Areebah Calhoun,Hockey,Male,65
433,Ella-Rose Choi,Baseball,Male,74
434,Keir Soto,Cycling,Male,44
435,Lorna Jenkins,Golf,Male,51
436,Charlene Myers,Badminton,Male,68
437,Shahzaib Petty,Volleyball,Female,31
438,Salman Whitley,Skateboarding,Non-binary,68
439,Roland Burns,Horse racing,Female,16
440,Andre Matthews,Climbing,Female,24
441,Tyron Goodman,Fencing,Male,13
442,Adem Wardle,Golf,Male,44
443,Frida Rayner,Horse racing,Male,20
444,Robert Horne,Hockey,Male,50
445,Otto Valenzuela,Hockey,Male,65
446,Shanaya Bouvet,Soccer,Non-binary,85
447,Rukhsar Roman,Shooting,Female,41
448,Larissa Kinney,Badminton,Non-binary,65
449,Shahzaib Petty,Surfing,Non-binary,63
450,Lillie-Mae O'Neill,Climbing,Non-binary,80
451,Ritik Moses,Car racing,Male,20
452,Robert Horne,Rugby,Non-binary,86
453,Blair Torres,Horse racing,Non-binary,81
454,Rylee Hinton,Fishing,Non-binary,46
455,Charlene Myers,Wrestling,Male,83
456,Dougie Whelan,Judo,Non-binary,52
457,Cody Buckley,Golf,Non-binary,76
458,Libbi Driscoll,Golf,Non-binary,69
459,Blair Torres,Curling,Non-binary,25
460,Ritik Moses,Car racing,Female,41
461,Adem Wardle,Rugby,Female,21
462,Ashlee Owens,Skateboarding,Female,64
463,Fatima Goodwin,Figure skating,Female,27
464,Simran Dudley,Baseball,Non-binary,21
465,Rukhsar Roman,Horseback riding,Male,79
466,Alvin Carpenter,Surfing,Male,38
467,Heath Robson,Pool,Non-binary,37
468,Albert Cross,Fencing,Non-binary,73
469,Keaton Ferry,Fitness,Non-binary,26
470,Franco Crouch,Karate,Non-binary,27
471,Conal Taylor,Horse racing,Female,70
472,Roland Burns,Curling,Female,36
473,Scarlette Mohammed,Bowling,Male,39
474,Sandra Wickens,Wrestling,Female,40
475,Cody Buckley,Basketball,Male,36
476,Blair Torres,Gymnastics,Male,40
477,Heath Robson,High jumping,Female,30
478,Leighton Bloggs,High jumping,Male,82
479,Ritik Moses,Golf,Female,13
480,Cody Buckley,Basketball,Non-binary,16
481,Huseyin Sargent,Rugby,Female,18
482,Eleasha Firth,Golf,Female,12
483,Marilyn Burks,Skateboarding,Male,45
484,Otto Valenzuela,Basketball,Female,52
485,Romana Wagner,Rugby,Male,41
486,Sheena Walls,Climbing,Male,38
487,Maisha Frost,High jumping,Male,60
488,Albert Cross,Fencing,Female,56
489,Zayan Yang,Wrestling,Non-binary,66
490,Romy Cohen,Fencing,Non-binary,48
491,Clarissa Churchill,Rugby,Non-binary,64
492,Zaynab Markham,High jumping,Non-binary,76
493,Franco Crouch,High jumping,Female,59
494,Simran Dudley,Archery,Female,20
495,Clarissa Churchill,Volleyball,Male,72
496,Sinead Holland,Basketball,Male,77
497,Gurveer Lutz,Surfing,Female,77
498,Robert Horne,Running,Female,84
499,Jimmie Gallegos,High jumping,Non-binary,28
500,Gracie Hood,Hockey,Non-binary,83
501,Cody Buckley,Surfing,Male,51
502,Alessio Day,Pool,Male,31
503,Alessio Day,Baseball,Female,62
504,Ella-Grace Hollis,Hang gliding,Female,79
505,Julius Colley,Shooting,Male,45
506,Robert Horne,Figure skating,Female,12
507,Shanaya Bouvet,Cycling,Non-binary,84
508,Frida Rayner,Archery,Male,60
509,Keri Rocha,Boxing,Non-binary,78
510,Lexi Hendricks,Car racing,Female,13
511,Maisha Frost,Table tennis,Female,46
512,Larissa Kinney,Weightlifting,Male,47
513,Alvin Carpenter,Basketball,Female,38
514,Zayan Yang,Fencing,Female,78
515,Cody Buckley,Cycling,Non-binary,46
516,Sinead Holland,Tennis,Female,25
517,Eleasha Firth,Horse racing,Non-binary,45
518,Salman Whitley,Golf,Female,79
519,Conal Taylor,Karate,Female,83
520,Nadeem Craft,Basketball,Female,13
521,Simran Dudley,Shooting,Female,52
522,Nour Fox,Baseball,Female,42
523,Kenya Hartman,Shooting,Non-binary,31
524,Marilyn Burks,Yoga,Non-binary,63
525,Luna Crosby,Bowling,Male,41
526,Mathias Russo,Running,Female,54
527,Andre Matthews,Weightlifting,Non-binary,16
528,Gianluca Walker,Volleyball,Female,28
